TIMESTAMP,RECORD,BattV_Avg,RH,Temp_C_Avg,Temp_C,PAR_Den_Avg,PAR_Tot_Tot,WS_ms_Avg,Rain_mm_Tot
TS,RN,Volts,%,Deg C,Deg C,umol/s/m^2,mmol/m^2,meters/second,mm
,,Avg,Smp,Avg,Smp,Avg,Tot,Avg,Tot
"Thursday, April 1, 2021",85394,12.87,100,14.5,14.52,136.7,123.0064,0,0
"Thursday, April 1, 2021",85395,12.87,100,14.5,14.55,136.6,122.9734,0.166,0
"Thursday, April 1, 2021",85396,12.86,100,14.56,14.55,135.8,122.1991,1.143,1.016
"Thursday, April 1, 2021",85397,12.86,100,14.45,14.41,135.7,122.1302,1.296,0.254
"Thursday, April 1, 2021",85398,12.85,100,14.33,14.33,135.6,122.0302,0.854,0
"Thursday, April 1, 2021",85399,12.85,100,14.23,14.24,135.6,121.9977,0.777,0
"Thursday, April 1, 2021",85400,12.84,100,14.14,14.12,135,121.4901,0.699,0
"Thursday, April 1, 2021",85401,12.84,98.2,13.84,13.4,132.8,119.5436,2.509,0
"Thursday, April 1, 2021",85402,12.83,95.4,12.71,12.54,131.6,118.4692,2.969,0
"Thursday, April 1, 2021",85403,12.83,92.7,12.01,11.87,131,117.8648,2.92,0
"Thursday, April 1, 2021",85404,12.82,93.1,11.3,11.12,130.1,117.0635,3.207,0
"Thursday, April 1, 2021",85405,12.81,95.3,10.57,10.44,130,117.0422,3.099,0
"Thursday, April 1, 2021",85406,12.81,93.2,9.99,9.92,131.9,118.7429,2.527,0
"Thursday, April 1, 2021",85407,12.8,86.2,9.65,9.7,134.7,121.2101,2.793,0
"Thursday, April 1, 2021",85408,12.79,82.4,9.54,9.56,136.2,122.566,2.471,0
"Thursday, April 1, 2021",85409,12.78,77.91,9.38,9.39,138.1,124.2499,2.783,0
"Thursday, April 1, 2021",85410,12.78,77.22,9.2,9.2,139.7,125.7635,2.723,0
"Thursday, April 1, 2021",85411,12.77,76.02,9.02,9.02,142.1,127.8499,2.477,0
"Thursday, April 1, 2021",85412,12.76,75.65,8.85,8.86,126.4,113.7321,1.327,0
"Thursday, April 1, 2021",85413,12.75,78.65,8.59,8.22,108.1,97.32485,0.356,0
"Thursday, April 1, 2021",85414,12.75,82.2,7.951,7.772,107,96.31686,0.435,0
"Thursday, April 1, 2021",85415,12.74,86,7.575,7.405,104.7,94.20039,0.63,0
"Thursday, April 1, 2021",85416,12.74,90.4,7.219,7.049,101.9,91.68262,0.453,0
"Thursday, April 1, 2021",85417,12.73,93.7,6.835,6.78,97.7,87.88548,0.292,0
"Thursday, April 1, 2021",85418,12.72,95.6,6.572,6.524,94.6,85.09714,0.031,0.254
"Thursday, April 1, 2021",85419,12.72,95.3,6.36,6.345,93.8,84.39801,0.201,0
"Thursday, April 1, 2021",85420,12.71,94.6,6.079,5.971,92.9,83.63317,0.834,0
"Thursday, April 1, 2021",85421,12.71,94.9,5.774,5.731,90.4,81.35075,0.251,0.254
"Thursday, April 1, 2021",85422,12.7,93.7,5.57,5.529,94.2,84.75449,0.032,0
"Thursday, April 1, 2021",85423,12.7,93.9,5.392,5.375,103.9,93.46928,0.096,0
"Thursday, April 1, 2021",85424,12.69,93.4,5.258,5.258,100.5,90.47698,0,0
"Thursday, April 1, 2021",85425,12.69,92.1,5.173,5.161,128.4,115.5362,0.113,0
"Thursday, April 1, 2021",85426,12.74,93.1,5.119,5.104,168.1,151.251,0.031,0.254
"Thursday, April 1, 2021",85427,13.14,94.4,5.169,5.233,266,239.4402,0.031,0
"Thursday, April 1, 2021",85428,13.35,95.2,5.221,5.221,199.9,179.9458,0.101,0.254
"Thursday, April 1, 2021",85429,13.51,94.3,5.113,5.095,284.7,256.2353,0.163,0
"Thursday, April 1, 2021",85430,13.73,93.3,4.933,4.935,322,289.8067,0.129,0
"Thursday, April 1, 2021",85431,13.8,90.7,4.966,5.062,569,512.1127,0.437,0
"Thursday, April 1, 2021",85432,13.8,88.6,5.011,5.048,499.4,449.4823,0.474,0
"Thursday, April 1, 2021",85433,13.8,85.5,5.128,5.142,556.8,501.0943,0.267,0
"Thursday, April 1, 2021",85434,13.8,81.6,5.131,5.194,601,540.8887,0.48,0
"Thursday, April 1, 2021",85435,13.8,80.5,5.32,5.294,619.6,557.6014,0.354,0
"Thursday, April 1, 2021",85436,13.8,79.17,5.381,5.589,654.6,589.1174,0.458,0
"Thursday, April 1, 2021",85437,13.8,78.82,5.752,5.901,688.5,619.6878,0.46,0
"Thursday, April 1, 2021",85438,13.8,75.56,6.319,6.857,1014,912.7318,0.348,0
"Thursday, April 1, 2021",85439,13.79,73.33,7.083,7.47,1046,941.6989,0.031,0
"Thursday, April 1, 2021",85440,13.77,68.64,8.3,8.95,1317,1185.182,0.036,0
"Thursday, April 1, 2021",85441,13.75,66.18,9.56,10.21,1137,1023.6,0.236,0
"Thursday, April 1, 2021",85442,13.74,57.63,10.15,10.83,929,836.4518,0.916,0
"Thursday, April 1, 2021",85443,13.72,57.64,10.7,11.15,941,846.7294,0.544,0
"Thursday, April 1, 2021",85444,13.71,54.47,10.95,11.36,989,890.384,0.876,0
"Thursday, April 1, 2021",85445,13.7,54.3,11.17,11.68,1047,942.0474,0.908,0
"Thursday, April 1, 2021",85446,13.69,52.88,11.6,11.89,1096,985.9591,0.476,0
