TP,Date,Treatment_Cage,Treatment,Cage,Replicate,Dose_ppm,Experiment_Start_Date,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14
1,2021-07-13,E1,E,1,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,2,28,1,0,0,0,0
1,2021-07-13,P1,P,1,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,1,34,9,0,0,0,0
1,2021-07-13,E2,E,2,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,12,26,2,0,1,0
1,2021-07-13,P2,P,2,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,1,35,8,0,0,0,0
1,2021-07-13,E3,E,3,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,13,29,1,0,0,0
1,2021-07-13,P3,P,3,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,3,33,6,2,0,0
1,2021-07-13,E4,E,4,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,12,19,3,0,0,0
1,2021-07-13,P4,P,4,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,11,27,0,1,0,0
1,2021-07-13,E5,E,5,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,19,22,1,0,0,0
1,2021-07-13,P5,P,5,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,36,9,0,0,0,0
1,2021-07-13,E6,E,6,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,10,14,5,0,0
1,2021-07-13,P6,P,6,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,22,15,4,0,0
1,2021-07-13,P7,P,7,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,31,7,3,0,0
1,2021-07-13,E8,E,8,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,8,35,5,2,0,0
1,2021-07-13,P8,P,8,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,30,0,2,0,0
1,2021-07-13,E9,E,9,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,33,4,2,0,0
1,2021-07-13,P9,P,9,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,21,22,0,0,0,0
1,2021-07-13,E10,E,10,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,9,24,5,2,0,0
1,2021-07-13,P10,P,10,1,0,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,28,15,2,0,0,0
1,2021-07-13,E1,E,1,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,2,14,1,0,0,0,0
1,2021-07-13,P1,P,1,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,12,9,0,0,0,0
1,2021-07-13,E2,E,2,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,6,0,0,1,0
1,2021-07-13,P2,P,2,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,9,1,0,0,0,0
1,2021-07-13,E3,E,3,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,3,7,3,0,1,0
1,2021-07-13,P3,P,3,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,8,4,4,1,0
1,2021-07-13,E4,E,4,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,15,4,0,0,0
1,2021-07-13,P4,P,4,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,9,3,1,0,0
1,2021-07-13,E5,E,5,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,6,3,0,1,0
1,2021-07-13,P5,P,5,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,15,2,1,0,0,0
1,2021-07-13,E6,E,6,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,8,0,0,0,0
1,2021-07-13,P6,P,6,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,11,2,2,0,0
1,2021-07-13,P7,P,7,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,2,8,1,2,0,0
1,2021-07-13,E8,E,8,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,8,6,0,1,0,0
1,2021-07-13,P8,P,8,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,6,2,0,0,0
1,2021-07-13,E9,E,9,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,2,9,2,1,0,0
1,2021-07-13,P9,P,9,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,10,6,2,0,0,0
1,2021-07-13,E10,E,10,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,8,0,0,0,0
1,2021-07-13,P10,P,10,1,2.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,13,4,0,0,0,0
1,2021-07-13,E1,E,1,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,1,0,2,0,0,0,0
1,2021-07-13,P1,P,1,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,11,2,0,0,0,0
1,2021-07-13,E2,E,2,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,4,1,0,0,0
1,2021-07-13,P2,P,2,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,2021-07-13,E3,E,3,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,7,1,0,0,0
1,2021-07-13,P3,P,3,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,5,3,2,0,0
1,2021-07-13,E4,E,4,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2021-07-13,P4,P,4,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1,2021-07-13,E5,E,5,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,1,0,0,0,0
1,2021-07-13,P5,P,5,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,1,4,4,0,0,0,0
1,2021-07-13,E6,E,6,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,2,3,0,0,0
1,2021-07-13,P6,P,6,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1,2021-07-13,P7,P,7,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,1,4,1,0,0
1,2021-07-13,E8,E,8,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,4,0,0,0,0
1,2021-07-13,P8,P,8,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1,2021-07-13,E9,E,9,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,2,2,2,0,0,0
1,2021-07-13,P9,P,9,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,8,1,0,0,0,0
1,2021-07-13,E10,E,10,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,2,1,1,0,0
1,2021-07-13,P10,P,10,1,5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,5,2,0,0,0,0
1,2021-07-13,E1,E,1,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,2021-07-13,P1,P,1,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1,2021-07-13,E2,E,2,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1,2021-07-13,P2,P,2,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,2021-07-13,E3,E,3,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,2,2,0,0,0
1,2021-07-13,P3,P,3,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2021-07-13,E4,E,4,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1,2021-07-13,P4,P,4,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,4,2,1,0,0
1,2021-07-13,E5,E,5,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,2021-07-13,P5,P,5,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,3,2,0,0,0,0
1,2021-07-13,E6,E,6,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2021-07-13,P6,P,6,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,3,0,0,0,0
1,2021-07-13,P7,P,7,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2021-07-13,E8,E,8,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,4,3,1,0,0,0
1,2021-07-13,P8,P,8,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2021-07-13,E9,E,9,1,7.5,2021-08-01T00:00:00Z,0,0,0,0,0,0,0,0,2,2,0,0,0,0
