resistance,environment,drug conc.,date,gen.
0.8309837194523939,pesticide,0.0,,0
0.8282694853125019,control,0.0,,0
0.5218286871372377,pesticide,2.5,,0
0.5338964588852672,control,2.5,,0
0.369492764140054,pesticide,5.0,,0
0.38242547033269075,control,5.0,,0
0.27156609278369953,pesticide,7.5,,0
0.28198491612349214,control,7.5,,0
0.17129373453126462,pesticide,10.0,,0
0.17877187067658507,control,10.0,,0
0.050256911856578844,pesticide,15.0,,0
0.053356531537799276,control,15.0,,0
0.8633984659753,pesticide,0.0,,1
0.861812944453294,control,0.0,,1
0.5333647503109087,pesticide,2.5,,1
0.5466066908196492,control,2.5,,1
0.3748999130018091,pesticide,5.0,,1
0.38877661651249784,control,5.0,,1
0.2745747417425556,pesticide,7.5,,1
0.2856422117019777,control,7.5,,1
0.17196539775886358,pesticide,10.0,,1
0.17977538762155917,control,10.0,,1
0.04913110286577659,pesticide,15.0,,1
0.052236177638764994,control,15.0,,1
0.8505186006537695,pesticide,0.0,,2
0.8632394947722317,control,0.0,,2
0.7555643677020768,pesticide,2.5,,2
0.5354126348912406,control,2.5,,2
0.6105304463450577,pesticide,5.0,,2
0.37743986619518377,control,5.0,,2
0.4528437316460754,pesticide,7.5,,2
0.27680961343458355,control,7.5,,2
0.28326218205011233,pesticide,10.0,,2
0.17359183154123836,control,10.0,,2
0.07934675200516816,pesticide,15.0,,2
0.04971997388828965,control,15.0,,2
0.8350503737672061,pesticide,0.0,,3
0.8645861300474496,control,0.0,,3
0.8127359290949349,pesticide,2.5,,3
0.524345043966429,control,2.5,,3
0.6834443467393982,pesticide,5.0,,3
0.36625512338659294,control,5.0,,3
0.5209064118997168,pesticide,7.5,,3
0.26813400286999983,control,7.5,,3
0.342464540743323,pesticide,10.0,,3
0.16757602524119106,control,10.0,,3
0.11447129283903314,pesticide,15.0,,3
0.04733423508978746,control,15.0,,3
0.8241075954020076,pesticide,0.0,,4
0.8658569211523206,control,0.0,,4
0.832331345941794,pesticide,2.5,,4
0.5134302857346864,control,2.5,,4
0.7134207371964838,pesticide,5.0,,4
0.3552461317840362,control,5.0,,4
0.5545984882227896,pesticide,7.5,,4
0.25962941653992616,control,7.5,,4
0.3780827234097182,pesticide,10.0,,4
0.16173122453375285,control,10.0,,4
0.14084672104744808,pesticide,15.0,,4
0.045073300116824214,control,15.0,,4
0.8165681465073477,pesticide,0.0,,5
0.8670559016309695,control,0.0,,5
0.8406290684190019,pesticide,2.5,,5
0.5026909371939503,control,2.5,,5
0.7285035654040901,pesticide,5.0,,5
0.34443302671083653,control,5.0,,5
0.5742734257319669,pesticide,7.5,,5
0.25130739279597175,control,7.5,,5
0.4014578597851216,pesticide,10.0,,5
0.15605936931047507,control,10.0,,5
0.15994651100945523,pesticide,15.0,,5
0.04293141083518673,control,15.0,,5
0.8060279752546868,pesticide,0.0,,6
0.8681870258975789,control,0.0,,6
0.855966370136259,pesticide,2.5,,6
0.49214603940708496,control,2.5,,6
0.7546166229030178,pesticide,5.0,,6
0.3338325929141767,control,5.0,,6
0.6077205456058397,pesticide,7.5,,6
0.24317717864709232,control,7.5,,6
0.4393330231081082,pesticide,10.0,,6
0.15056124317840397,control,10.0,,6
0.1886273382681643,pesticide,15.0,,6
0.040902797903561855,control,15.0,,6
0.8067278480206673,pesticide,0.0,,7
0.8692541372984104,control,0.0,,7
0.8220182494790262,pesticide,2.5,,7
0.4818113737172559,control,2.5,,7
0.7183012766880152,pesticide,5.0,,7
0.32345853927703033,control,5.0,,7
0.5808046584811125,pesticide,7.5,,7
0.23524594194057397,control,7.5,,7
0.424906218627822,pesticide,10.0,,7
0.14523662462108314,control,10.0,,7
0.18880540810985308,pesticide,15.0,,7
0.03898174946351337,control,15.0,,7
0.8093354022169967,pesticide,0.0,,8
0.8702609445521726,control,0.0,,8
0.8191843023599514,pesticide,2.5,,8
0.4716997476206014,control,2.5,,8
0.7144725053152851,pesticide,5.0,,8
0.3133217797719152,control,5.0,,8
0.576039422706372,pesticide,7.5,,8
0.22751898245456892,control,7.5,,8
0.4189265050298999,pesticide,10.0,,8
0.1400844279370007,control,10.0,,8
0.18351365603700226,pesticide,15.0,,8
0.03716266495822766,control,15.0,,8
0.8119864368613658,pesticide,0.0,,9
0.8712110051951594,control,0.0,,9
0.8157684214810711,pesticide,2.5,,9
0.4618212810472986,control,2.5,,9
0.7100218238624605,pesticide,5.0,,9
0.30343071235859137,control,5.0,,9
0.5707773442101626,pesticide,7.5,,9
0.21999993703832052,control,7.5,,9
0.4125939281217004,pesticide,10.0,,9
0.13510283292457978,control,10.0,,9
0.17806997637405542,pesticide,15.0,,9
0.035440096226153656,control,15.0,,9
0.8146687110447258,pesticide,0.0,,10
0.872107714793513,control,0.0,,10
0.8117349026885841,pesticide,2.5,,10
0.45218368605115483,control,2.5,,10
0.7049172360097238,pesticide,5.0,,10
0.29379148960855034,control,5.0,,10
0.5650062301617894,pesticide,7.5,,10
0.21269097528654565,control,7.5,,10
0.4059204605360249,pesticide,10.0,,10
0.13028940285209828,control,10.0,,10
0.17250224214129348,pesticide,15.0,,10
0.033808777860030115,control,15.0,,10
